Site.name,Site.ID,Site.Code,Depth,Reef.type,Photo Name,Anemone,Corallimorph,Bare rock,Acropora,Bleached Acropora,Bleached Coral,Colourful bleaching,Coral,Sponge,Halimeda,Other Algae,Turf,Crustose coralline algae,Rubble,Sand,Soft Coral,Dead Standing Coral,Other live,Diseased coral,Shadow,Tape,Wand,Sum.excl.TWS
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_07.jpg,0,0,10,30,0,0,0,6.7,26.7,0,0,0,20,0,0,0,6.7,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_08.jpg,0,0,10,10,0,3.3,0,40,13.3,0,0,0,16.7,0,0,0,6.7,0,0,0,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_09.jpg,0,0,0,10.3,0,0,0,34.5,17.2,0,0,0,37.9,0,0,0,0,0,0,3.3,0,0,100
Fonadhoo outside,FO,2022_FO_15m,15m,Outer,FO_15m_Rep2_10.jpg,0,0,23.3,0,0,0,0,16.7,20,0,0,0,33.3,0,0,0,6.7,0,0,0,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_01.jpg,0,0,10,0,0,0,0,40,0,0,0,0,13.3,30,0,0,6.7,0,0,0,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_02.jpg,0,0,46.4,0,0,0,0,14.3,0,0,0,0,3.6,28.6,0,0,7.1,0,0,3.3,3.3,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_03.jpg,0,0,17.2,0,0,0,0,44.8,0,3.4,0,3.4,3.4,20.7,3.4,0,3.4,0,0,0,3.3,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_04.jpg,0,0,7.1,3.6,3.6,0,0,21.4,10.7,0,0,0,35.7,0,0,0,17.9,0,0,0,6.7,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_05.jpg,0,0,33.3,6.7,0,0,0,26.7,0,6.7,0,3.3,13.3,6.7,3.3,0,0,0,0,0,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_06.jpg,0,0,13.8,3.4,0,0,0,55.2,0,10.3,0,0,13.8,0,0,0,3.4,0,0,3.3,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_07.jpg,0,0,17.9,3.6,0,0,0,42.9,3.6,0,0,3.6,14.3,3.6,0,0,10.7,0,0,6.7,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_08.jpg,0,0,13.3,3.3,0,0,0,63.3,3.3,0,0,6.7,3.3,0,0,0,6.7,0,0,0,0,0,100
Fonagaadhoo outside,FGO,2022_FGO_10m,10m,Outer,FGO_10m_Rep1_09.jpg,0,0,40,0,3.3,0,0,20,0,0,0,0,20,3.3,0,0,13.3,0,0,0,0,0,100
