"","Site.ID","Site","Depth","Reef type","year","Hard coral","Soft coral","Bleached coral","Diseased coral","Dead coral","Sponge","Algae","Bare rock","Sand","Rubble","Other"
"153","GO","Gaadhoo outside","15m","Outer","2021/22",30,0,0,0,0,0,0,66.7,0,3.3,0
"154","GO","Gaadhoo outside","15m","Outer","2021/22",26.7,0,0,0,0,0,0,73.3,0,0,0
"155","GO","Gaadhoo outside","15m","Outer","2021/22",20,0,0,0,0,6.7,0,73.3,0,0,0
"156","GO","Gaadhoo outside","15m","Outer","2021/22",6.9,0,0,0,0,10.3,0,82.8,0,0,0
"157","GO","Gaadhoo outside","15m","Outer","2021/22",6.7,0,0,0,0,0,0,93.3,0,0,0
"158","GO","Gaadhoo outside","15m","Outer","2021/22",16.7,0,0,0,0,6.7,0,76.7,0,0,0
"159","GO","Gaadhoo outside","15m","Outer","2021/22",10,0,0,0,0,13.3,0,76.7,0,0,0
"160","GO","Gaadhoo outside","15m","Outer","2021/22",24.1,0,0,0,0,0,0,75.9,0,0,0
"161","HC","Hithadhoo corner","10m","Channel","2021/22",10,0,0,0,0,3.3,0,86.7,0,0,0
"162","HC","Hithadhoo corner","10m","Channel","2021/22",3.4,0,0,0,0,13.8,0,82.8,0,0,0
"163","HC","Hithadhoo corner","10m","Channel","2021/22",3.3,0,0,0,0,3.3,0,86.7,0,6.7,0
"164","HC","Hithadhoo corner","10m","Channel","2021/22",6.7,0,0,0,0,6.7,0,80,0,6.7,0
"165","HC","Hithadhoo corner","10m","Channel","2021/22",3.4,0,0,0,0,3.4,0,93.1,0,0,0
"166","HC","Hithadhoo corner","10m","Channel","2021/22",0,0,0,0,0,17.9,0,75,0,7.1,0
"167","HC","Hithadhoo corner","10m","Channel","2021/22",0,0,0,0,0,30,0,70,0,0,0
"168","HC","Hithadhoo corner","10m","Channel","2021/22",20,0,0,0,0,0,0,80,0,0,0
"169","HC","Hithadhoo corner","10m","Channel","2021/22",7.7,0,0,0,0,0,0,73.1,7.7,11.5,0
"170","HC","Hithadhoo corner","10m","Channel","2021/22",10,0,0,0,0,0,0,33.3,0,56.7,0
"171","HC","Hithadhoo corner","10m","Channel","2021/22",0,0,0,0,0,0,0,89.3,0,10.7,0
"172","HC","Hithadhoo corner","10m","Channel","2021/22",13.8,0,0,0,0,0,0,86.2,0,0,0
"173","HC","Hithadhoo corner","10m","Channel","2021/22",6.7,0,0,0,0,10,0,83.3,0,0,0
"174","HC","Hithadhoo corner","10m","Channel","2021/22",17.2,0,0,0,0,0,0,79.3,0,3.4,0
"175","HC","Hithadhoo corner","10m","Channel","2021/22",33.3,0,0,0,0,0,0,63.3,0,3.3,0
"176","HC","Hithadhoo corner","10m","Channel","2021/22",61.5,0,0,0,7.7,0,0,30.8,0,0,0
"177","HC","Hithadhoo corner","10m","Channel","2021/22",31,0,0,0,0,0,0,62.1,0,6.9,0
"178","HC","Hithadhoo corner","10m","Channel","2021/22",0,0,0,0,0,0,0,96.6,0,3.4,0
"179","HC","Hithadhoo corner","10m","Channel","2021/22",14.3,0,0,0,0,0,0,85.7,0,0,0
"180","HC","Hithadhoo corner","10m","Channel","2021/22",13.3,0,0,0,0,0,0,83.3,0,3.3,0
"181","HC","Hithadhoo corner","15m","Channel","2021/22",16.7,0,0,0,0,3.3,0,80,0,0,0
"182","HC","Hithadhoo corner","15m","Channel","2021/22",27.6,0,0,0,3.4,3.4,0,65.5,0,0,0
"183","HC","Hithadhoo corner","15m","Channel","2021/22",10,0,0,0,0,0,0,66.7,0,23.3,0
"184","HC","Hithadhoo corner","15m","Channel","2021/22",10,0,0,0,0,3.3,0,80,0,6.7,0
"185","HC","Hithadhoo corner","15m","Channel","2021/22",30,0,0,0,0,0,0,63.3,0,6.7,0
"186","HC","Hithadhoo corner","15m","Channel","2021/22",23.3,0,0,0,0,0,0,73.3,0,3.3,0
"187","HC","Hithadhoo corner","15m","Channel","2021/22",31,0,0,0,0,0,0,69,0,0,0
"188","HC","Hithadhoo corner","15m","Channel","2021/22",17.2,0,0,0,0,6.9,0,44.8,0,31,0
"189","HC","Hithadhoo corner","15m","Channel","2021/22",26.6,0,0,0,0,0,0,63.3,0,10,0
"190","HC","Hithadhoo corner","15m","Channel","2021/22",23.3,0,0,0,0,0,0,76.7,0,0,0
"191","HC","Hithadhoo corner","15m","Channel","2021/22",20.7,0,0,0,0,3.4,0,48.3,0,27.6,0
"192","HC","Hithadhoo corner","15m","Channel","2021/22",37.9,0,0,0,0,0,0,37.9,0,24.1,0
"193","HC","Hithadhoo corner","15m","Channel","2021/22",80,0,0,0,0,0,0,16.7,0,3.3,0
"194","HC","Hithadhoo corner","15m","Channel","2021/22",6.6,0,0,0,0,6.7,0,63.3,0,23.3,0
"195","HC","Hithadhoo corner","15m","Channel","2021/22",23.4,0,0,0,0,6.7,0,43.3,0,26.7,0
"196","HC","Hithadhoo corner","15m","Channel","2021/22",20,0,0,0,0,0,0,20,0,60,0
"197","HC","Hithadhoo corner","15m","Channel","2021/22",20,0,0,0,0,6.7,0,56.7,0,16.7,0
"198","HC","Hithadhoo corner","15m","Channel","2021/22",25.9,0,0,0,0,3.7,0,70.4,0,0,0
"199","HC","Hithadhoo corner","15m","Channel","2021/22",17.2,0,0,0,0,0,0,48.3,0,31,3.4
"200","HC","Hithadhoo corner","15m","Channel","2021/22",16.6,0,0,0,0,10,3.3,56.7,0,6.7,6.7
"201","HW","Hithadhoo west","10m","Outer","2021/22",83.3,0,0,0,0,0,0,0,13.3,3.3,0
