Date,Site,Depth,Replicate,Reef impacts,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,TRASH,,,
08/10/2019,MI,10m,2,FISHING LINES,,,
08/10/2019,MI,10m,2,FISHING LINES,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,FISHING LINES,,,
08/10/2019,MI,5m,1,FISHING LINES,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,FISHING LINES,,,
08/10/2019,MI,5m,2,FISHING LINES,,,
08/10/2019,MI,5m,2,FISHING LINES,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,1,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,TRASH,,,
08/10/2019,MI,5m,2,FISHING LINES,,,
08/10/2019,MI,5m,2,FISHING LINES,,,
08/10/2019,MO,10m,2,PARROTFISH DAMAGE,,,
08/10/2019,MO,15m,1,FISHING LINES,,,
08/10/2019,MO,15m,1,FISHING LINES,,,
08/10/2019,MO,15m,2,OTHER DAMAGES,,,
